Timestamp (ns);Aggregated CPU Load (%);GPU Busy (%);
3811536307324.000000;13.250474;14.651596;
3811598147196.000000;10.931401;14.883160;
3811661414012.000000;9.394174;14.976059;
3811722872188.000000;24.098848;14.971156;
3811786177916.000000;22.512790;14.213561;
3811846641532.000000;12.115818;14.889712;
3811908213628.000000;16.096442;15.629424;
3811971925116.000000;18.138632;14.818354;
3812034174588.000000;18.465405;13.414890;
3812097244028.000000;13.748681;15.142462;
3812158085756.000000;12.616222;16.420538;
3812220943996.000000;13.351393;14.675745;
3812284385148.000000;14.812590;14.671787;
3812347065212.000000;13.666259;14.704213;
3812409169020.000000;16.764901;14.833794;
3812470199932.000000;22.181532;14.312087;
3812532605820.000000;11.737060;15.372857;
3812594920060.000000;5.541951;16.806226;
3812657533308.000000;7.787802;19.611833;
3812719970940.000000;10.057632;20.427956;
3812782884220.000000;11.476132;22.320032;
3812845404796.000000;14.119753;20.428351;
3812906921340.000000;12.765184;13.798848;
3812968588156.000000;7.894395;14.461052;
3813029976444.000000;8.551221;15.191543;
3813092425084.000000;15.837034;14.490821;
3813154448764.000000;20.543967;13.160218;
3813216847228.000000;14.301155;14.730554;
3813277968252.000000;8.595118;16.282265;
3813340887164.000000;10.898582;13.979729;
3813402879100.000000;16.477907;14.298752;
3813463881084.000000;15.548682;15.019803;
3813525052540.000000;11.263453;14.026790;
3813588196220.000000;11.237045;14.663783;
3813649507708.000000;10.535790;15.032205;
3813712369020.000000;15.435862;14.246968;
3813775645308.000000;25.505791;13.521438;
3813838203260.000000;20.521786;15.182636;
3813899776380.000000;10.775789;15.773994;
3813962192252.000000;11.161707;14.198890;
3814025241468.000000;17.574962;13.677497;
3814087787900.000000;16.373109;14.548421;
3814150422396.000000;14.363121;15.114054;
3814212220796.000000;14.656037;13.523664;
3814273954940.000000;15.237140;14.631410;
3814334320764.000000;15.965419;15.457858;
3814397988988.000000;11.064507;14.358642;
3814461167484.000000;9.284466;13.598871;
3814523333500.000000;10.165473;14.496537;
3814586713468.000000;9.888502;15.210618;
3814648894332.000000;9.561636;14.417382;
3814710592892.000000;9.394358;14.147617;
3814772650876.000000;11.706642;14.606584;
3814834367100.000000;11.922895;14.890349;
3814897568124.000000;8.157574;13.837361;
3814958512252.000000;12.343326;15.011940;
3815020485500.000000;13.720214;15.606211;
3815081868412.000000;14.414939;14.572857;
3815144291708.000000;17.600781;14.338821;
3815207683196.000000;17.553661;14.226356;
3815268573564.000000;16.437646;14.527167;
3815329820028.000000;18.405877;12.630225;
3815390749308.000000;14.539768;15.209616;
3815453618300.000000;11.853859;16.891735;
3815516170108.000000;19.013773;14.287766;
3815579568764.000000;18.331344;14.488556;
3815641432444.000000;12.829269;14.583162;
3815701914492.000000;15.860594;14.217723;
3815764976252.000000;33.964119;14.633979;
3815826809724.000000;26.673194;16.327483;
3815888405884.000000;11.295260;16.042877;
3815951171196.000000;15.740455;14.650780;
3816013989756.000000;20.231744;14.654119;
3816077280124.000000;15.706306;14.640558;
3816139739004.000000;9.230430;14.312069;
3816200866684.000000;16.143193;13.801418;
3816263629180.000000;14.462528;14.742452;
3816325722492.000000;8.278416;15.446117;
3816387708028.000000;11.503853;14.708825;
3816451232892.000000;11.621222;14.009875;
3816513500796.000000;8.098847;14.764693;
3816576456316.000000;8.201646;15.245487;
3816638806652.000000;7.892669;14.235571;
3816701052540.000000;15.550600;14.479288;
3816762869372.000000;17.466504;14.916422;
3816826219132.000000;9.441174;14.820355;
3816888785276.000000;8.459184;14.587282;
3816949931388.000000;8.628501;14.368747;
3817012349052.000000;11.168065;14.171572;
3817075516028.000000;12.585091;14.494805;
